NOMBRE,REGION,SUPERFICIE,S_TERRES,S_MARINA,PRIM_DEC,ULT_DOF,PCM1,SINAP,,,
Alto Golfo de California y Delta del Río Colorado,Noroeste y Alto Golfo de California,934756.25,407147.5456,527608.7044,6/10/1993,6/10/1993,9/25/2009,SINAP,1,1,
Zona marina del Archipiélago de San Lorenzo,Península de Baja California y Pacífico Norte,58442.80454,0,58442.80454,4/25/2005,4/25/2005,1/20/2015,SINAP,1,1,
"Zona marina Bahía de los Ángeles, canales de Ballenas y de Salsipuedes",Península de Baja California y Pacífico Norte,387956.8842,483.2005,387473.6837,6/5/2007,6/5/2007,11/5/2013,SINAP,1,1,
Bala'an K'aax,Península de Yucatán y Caribe Mexicano,128390.1555,128390.1555,0,5/3/2005,5/3/2005,2/25/2011,SINAP,0,1,
Balandra,Península de Baja California y Pacífico Norte,2512.73075,1319.52959,1193.20116,11/30/2012,11/30/2012,10/29/2015,NA,1,1,
Barranca del Cupatitzio,Occidente y Pacífico Centro,458.21,458.21,0,11/2/1938,8/1/1996,4/22/2009,NA,0,0,
Benito Juárez,"Frontera Sur, Istmo y Pacífico Sur",2591.515659,2591.515659,0,12/30/1937,12/30/1937,12/27/2013,NA,0,0,
Bonampak,"Frontera Sur, Istmo y Pacífico Sur",4357.4,4357.4,0,8/21/1992,8/21/1992,7/8/2010,SINAP,0,0,
Cañón del Río Blanco,Planicie Costera y Golfo de México,48799.77547,48799.77547,0,3/22/1938,3/22/1938,NA,NA,0,0,
Cañón de Santa Elena,Noreste y Sierra Madre Oriental,277209.7213,277209.7213,0,11/7/1994,11/7/1994,6/5/2012,SINAP,0,0,
Cañón del Sumidero,"Frontera Sur, Istmo y Pacífico Sur",21789.419,21789.419,0,12/8/1980,2/6/1981,NA,NA,0,0,
C.A.D.N.R. 001 Pabellón,Occidente y Pacífico Centro,97699.68967,97699.68967,0,8/3/1949,11/7/2002,NA,NA,0,0,
C.A.D.N.R. 004 Don Martín,Noreste y Sierra Madre Oriental,1519385.031,1519385.031,0,8/3/1949,11/7/2002,NA,NA,0,0,
C.A.D.N.R. 026 Bajo Río San Juan,Noreste y Sierra Madre Oriental,197156.79,197156.79,0,8/3/1949,11/7/2002,NA,NA,0,0,
C.A.D.N.R. 043 Estado de Nayarit,Norte y Sierra Madre Occidental; Occidente y Pacífico Centro,2329026.757,2329026.757,0,8/3/1949,11/7/2002,NA,NA,0,0,
Calakmul,Península de Yucatán y Caribe Mexicano,723185.125,723185.125,0,5/23/1989,5/23/1989,4/7/2000,SINAP,0,0,
Campo Verde,Norte y Sierra Madre Occidental,108067.4728,108067.4728,0,1/3/1938,1/29/2003,NA,NA,0,0,
Cascada de Bassaseachic,Norte y Sierra Madre Occidental,5802.8513,5802.8513,0,2/2/1981,2/2/1981,8/8/2016,SINAP,0,0,
Cañón del Usumacinta,Planicie Costera y Golfo de México,46128.49347,46128.49347,0,9/22/2008,9/22/2008,6/5/2015,NA,0,0,
Cerro de Garnica,Occidente y Pacífico Centro,1936,1936,0,9/5/1936,9/5/1936,NA,NA,0,0,
Cerro de La Estrella,Centro y Eje Neovolcánico,1183.339468,1183.339468,0,8/24/1938,8/24/1938,NA,NA,0,0,
Cerro de la Silla,Noreste y Sierra Madre Oriental,6039.39875,6039.39875,0,4/26/1991,9/24/1991,1/6/2014,NA,0,0,
Cerro de Las Campanas,Centro y Eje Neovolcánico,58.493283,58.493283,0,7/7/1937,7/7/1937,NA,NA,0,0,
Chamela-Cuixmala,Occidente y Pacífico Centro,13141.69245,13141.69245,0,12/30/1993,11/25/1994,1/20/1997,SINAP,0,1,
Chan-Kin,"Frontera Sur, Istmo y Pacífico Sur",12184.9875,12184.9875,0,8/21/1992,8/21/1992,6/5/2018,SINAP,0,0,
Ciénegas del Lerma,Centro y Eje Neovolcánico,3023.9574,3023.9574,0,11/27/2002,7/29/2003,9/5/2018,SINAP,0,0,
Cofre de Perote o Nauhcampatépetl,Planicie Costera y Golfo de México,11530.73275,11530.73275,0,5/4/1937,5/4/1937,1/21/2015,NA,0,0,
Constitución de 1857,Península de Baja California y Pacífico Norte,5009.4861,5009.4861,0,4/27/1962,4/27/1962,3/1/2011,SINAP,0,0,
Corredor Biológico Chichinautzin,Centro y Eje Neovolcánico,37302.40625,37302.40625,0,11/30/1988,11/30/1988,NA,SINAP,0,0,
"Costa Occ. de I. Mujeres, Pta. Cancún y Pta. Nizuc",Península de Yucatán y Caribe Mexicano,8673.06,0.607161,8672.452839,7/19/1996,6/7/2000,8/2/2016,NA,1,1,
Cumbres de Majalca,Norte y Sierra Madre Occidental,4701.275783,4701.275783,0,9/1/1939,9/1/1939,8/8/2016,NA,0,0,
Cumbres del Ajusco,Centro y Eje Neovolcánico,920,920,0,9/23/1936,5/19/1947,NA,NA,0,0,
Desierto de los Leones,Centro y Eje Neovolcánico,1529,1529,0,11/27/1917,11/27/1917,6/5/2006,NA,0,0,
Desierto del Carmen o de Nixcongo,Centro y Eje Neovolcánico,529,529,0,10/10/1942,10/10/1942,NA,NA,0,0,
