cve_ent,cve_mun,cve_loc,cve_ageb,nomloc
1,1,1178,1138,Granjas Fátima
1,1,1184,1246,Parque Industrial de Logística Automotriz (PILA)
1,1,2050,1903,Cumbres III
1,1,2379,1123,Edén los Sabinos
1,1,2469,1763,Parque Industrial Douki Seisan Park (DSP)
1,2,30,33,Lázaro Cárdenas
1,2,34,67,Las Negritas
1,3,110,100,Crucero las Pilas
1,3,398,100,San José
1,4,30,38,El Salero
1,5,17,35,El Cenizo
1,5,19,73,Cieneguitas
1,6,249,47,San Agustín de los Puentes
1,6,264,13,Ejido el Mezquite (Ojo de Agua del Mezquite)
1,8,23,145,San Antonio de los Ríos
1,9,8,34,Carboneras
1,10,74,011A,El Retoño
1,10,101,92,Santa Elena
1,11,51,009A,La Providencia
2,1,1266,6218,San Antonio Necua (Cañada de los Encinos)
2,1,1654,6330,Poblado Puerta Trampa
2,1,2142,6237,Buena Vista
2,1,3381,6557,Ejido el Ajusco
2,1,3815,6472,Parcela Número Doscientos Treinta y Uno (Rancho el Refugio del Viejo)
2,1,4068,6472,San Carlos (Ejido Nacionalista)
2,1,4635,6472,Colonia Esperanza (Cañón San Carlos)
2,1,5037,6538,Colinas del Pedregal
2,1,5147,6542,Francisco Villa
2,2,158,355A,Ejido Chihuahua
2,2,186,3456,Ejido Guanajuato
2,2,211,3494,Ejido Lázaro Cárdenas (La Mosca)
2,2,212,3579,Poblado Lázaro Cárdenas (La Veintiocho)
2,2,255,3579,Colonia Pescaderos (Campo la Catorce)
2,2,258,3672,Ejido Plan de Ayala
2,2,311,3511,Colonia José María Rodríguez Mérida (La Panga)
2,2,327,3460,Ejido Netzahualcóyotl
2,2,516,3460,Represa Aurelio Benansini (Carehey)
2,2,1369,3507,Colonia Miguel Alemán
2,2,1653,3653,La División (Colonia Venustiano Carranza)
2,2,1975,3511,Colonia la 27 (Campamento SARH Kilómetro Veintisiete)
2,2,4747,3371,Los Manantiales
2,2,4926,3460,Las Campiñas
2,2,4951,3352,Crepúsculo de la Progreso
2,3,107,726,La Rumorosa
2,3,139,082A,Valle de las Palmas
2,3,168,764,Ciénega Redonda
2,3,899,745,Rancho Tecate
2,3,934,711,Ejido Encinal
2,3,1102,779,Desarrollo Hacienda Burócratas
2,4,164,2132,Casa Blanca (Familia Ulloa)
2,4,661,5033,La Ilusión
2,4,1755,2166,Batalla Nacional
2,4,1863,5052,Vista Horizonte
2,4,1961,5029,Ley del Servicio Civil
2,4,2120,2147,Las Alondras [Desarrollo Urbano]
2,5,25,63,Santa Anita
2,5,218,44,Los Volcanes
2,6,628,959,Nuevo Centro de Población Padre Kino
2,6,825,093A,Santa Fe [Rancho]
2,7,202,027A,Playa de Oro
2,7,203,027A,Playa del Sol
3,1,379,2559,Villa Hidalgo
3,2,140,3287,San Bruno
3,2,715,3234,Posada Concepción
3,3,277,2642,San Pedro
3,3,418,2784,Buenos Aires
3,3,944,2638,Melitón Albáñez Domínguez
3,3,1450,2445,El Comitán
3,3,1784,2869,Los Cerritos
3,3,2368,2568,Los Bledales (La Ceibita)
3,3,2515,2765,Palo Blanco
3,3,2530,2568,Colonia 28 de Octubre (Kilómetro 6)
3,3,2769,2835,Campamento Agrícola del Mar
3,8,48,052A,Buenavista
3,8,348,604,Matancitas
4,1,12,203,Santa Cruz Ex-Hacienda
4,3,31,1668,Santa Rita
4,3,58,2276,Abelardo L. Rodríguez
4,3,364,2721,Independencia
4,3,3420,2740,Nueva Chontalpa
4,3,3430,2774,Ojo de Agua
4,4,5,1114,Canasayab
4,4,12,1275,Profesor Graciano Sánchez
4,4,43,1097,Vicente Guerrero
4,4,62,1078,San José Carpizo Uno (San Fernando)
4,4,82,110A,Ulumal
4,4,130,1171,Cañaveral
4,4,1701,1186,Dzitbalché Castellot
4,5,3,170,Chunkanán
4,6,800,498,Santa Rosa [Campo Menonita]
4,6,882,052A,Santa Fe Uno
4,7,169,419,Santa Cruz
4,9,108,358,Don Samuel
4,9,131,235,La Esperanza
4,9,170,343,Guadalajara
4,9,255,254,El Lechugal
4,9,965,625,Adolfo López Mateos
4,10,64,132,Concepción
4,10,66,132,Constitución
4,10,100,310,Eugenio Echeverría Castellot (El Carrizal)
4,10,154,310,Niños Héroes
4,10,191,128,Puebla de Morelia
4,10,225,151,Santa Lucía
4,11,355,214,El Naranjo
4,11,381,144,La Olla
4,11,680,178,Venustiano Carranza
4,11,696,163,Primer Presidente de México (Guadalupe Victoria)
4,11,1499,106,Nuevo Relámpago
5,4,7,163,Artesillas
5,4,61,271,Los Lirios
5,4,82,178,El Poleo
5,6,44,076A,Presa de Chaires
5,6,71,581,Soledad
5,6,273,090A,Espinazo
5,9,3,761,Alamito
5,9,10,456,Buenavista de Arriba
5,9,21,418,Finisterre
5,9,36,761,Nuevo León
5,9,42,437,Saloña (Tres Norias)
5,9,46,441,San José de la Niña
5,9,50,441,Santa María (Santa María de Arriba)
5,9,53,456,Seis de Octubre (Santo Niño)
5,9,62,456,Las Virginias
5,9,91,422,La Nueva Trinidad
5,10,2,103,La Cruz
5,10,176,103,Colonia Diana Laura Riojas de Colosio
5,10,222,419,San Antonio (Nuevo Paraíso)
5,11,27,044A,Presa de Guadalupe (Guadalupe)
5,11,38,331,Marte (Estación Marte)
5,11,74,044A,El Tejocote
5,12,21,343,Guadalupe
5,14,4,418,El Divisadero
5,14,9,048A,Nueva Jarita
5,14,16,422,La Potasa
5,14,22,422,Santa María
5,15,3,379,Don Martín
5,15,138,364,"Don Martín [Club de Caza, Tiro y Pesca]"
5,17,29,72,Maravillas
5,17,68,335,Corona
5,17,72,123,Las Palomas
5,17,149,72,Rancho de Afuera
5,17,160,354,Corea
5,20,439,951,Nogalitos
5,21,2,198,Villa de Bucareli (La Villita)
5,21,9,179,Nuevo Poblado de Sardinas
5,23,32,2818,Las Eutimias
5,24,18,1592,Santa Cecilia (La Cecilia)
5,24,58,1944,Notillas
5,24,60,1450,Paila
5,24,76,1408,La Requena (La Requena de Fátima)
5,24,83,1588,San Francisco del Progreso
5,24,85,1554,San Isidro
5,24,89,1944,San José de la Unión
5,24,102,1520,Santa Isabel y Santa Rita
5,24,161,1408,Providencia (Maravillas Uno)
5,24,169,1431,El Sacramento (Sacramento de la Jarosa)
5,26,6,122,San Alberto
5,26,79,118,Mexiquito
5,27,79,119A,Rancho Nuevo
5,27,290,1077,San Ignacio
5,27,726,1132,Valle del Mimbre
5,27,728,1293,Sector ll Vynmsa [Parque Industrial]
5,28,5,786,Puente Negro
5,30,73,3276,Agua Nueva
5,30,114,3242,El Derramadero
5,30,209,052A,San José de la Joya
5,30,210,3488,San José del Alamito
5,30,214,3257,San Juan de la Vaquería
5,30,1144,3191,Sector l Vynmsa [Parque Industrial]
